Tweet Text	# number	Medical relevance	X	Does X cure cancer 	
RT @JarrodTheLord: Yall creating life and cloning animals but want us to believe there is no cure for Cancer or Aids... alright https://t.c…	79793	no			
RT @TommySobiesski: you could give GameStop the cure to cancer &amp; they’d offer you $3.89 https://t.co/REjIez4G7D	3371	no			
This last year has been the hardest of my life - to all the cancer researchers, doctors, nurses and caregivers who are so selflessly dedicated to finding a cure and healing patients, you are my heroes and I am grateful for the hope and strength you continue to give me &amp; my family	2141	no			
The year is 2043. You opened your newspaper and read the headlines-  - World Health Organization releases a cure for Cancer. - Global warming threat- eliminated!  - Enrile celebrating his birthday. - Penguins can fly.  .. and you've never been so happy.	935	no			
RT @gorskon: Here we go again. Yet another dubious cancer cure video. Watch to the end and see! https://t.co/JObs8QeYiS	685	no			
So sick of festival kids fingering themselves with amethyst and wearing 10 pashimas thinking they're hippies. Real hippies would get together and cure cancer instead of spending $600 to stand around in a field and fuck each other on acid. Go feed the homeless if ur such a hippie	604	no			
Protect us ya RABBI from CANCER and cure those afflicted by this sickness 😫💔....  Make it possible for the medical practitioners to find the cure for CANCER ya ALLAH 🙏🙏🙏🙏	381	no			
Paul Pogba could dribble past four players, cure cancer, find life on another planet, and score a banger from 35 yards all in a single gif and football twitter would say LMAOOO what’s special about this	377	no			
What if we aborted the first female President, or the person who was to cure cancer? Liberals claim to value each individual person, their story and their contributions, while actively leading children to the slaughter.  #ScotusPick	377	no			
Yesterday the #Democrats cried #FamiliesBelongTogther. Today, they’re over that &amp; now they don’t want anyone who broke the law 2 be detained. #WakeUpAmerica, their want #OpenBorders. The @POTUS can cure cancer and they’d cry pro cancer cells. #LiberalismIsAMentalDisorder #VoteRed https://t.co/22TUxg3IWR	348	no			
As people’s anger boils over in the streets there are talks that the Rouhani government should resign. But you do not cure cancer with an aspirin. The tumor needs to be removed- - and tumor is IRI and the surgeons are the people.	343	yes	aspirin	no	
Trans surgeries are RECONSTRUCTIVE, not cosmetic. The same way a mastectomy + implants for a breast cancer patient is reconstructive. It's not to look better, it's to cure something. Wild that some people still don't understand that and fight against insurances covering them	326	no			
