,Tweet Text,# number,Medical relevance,X,Does X cure cancer,Unnamed: 5
0,RT @JarrodTheLord: Yall creating life and cloning animals but want us to believe there is no cure for Cancer or Aids... alright https://t.c‰Û¡ÌÝ_,79793,no,,no,
1,RT @TommySobiesski: you could give GameStop the cure to cancer &amp; they‰Û¡ÌÝå»d offer you $3.89 https://t.co/REjIez4G7D,3371,no,,no,
2,"This last year has been the hardest of my life - to all the cancer researchers, doctors, nurses and caregivers who are so selflessly dedicated to finding a cure and healing patients, you are my heroes and I am grateful for the hope and strength you continue to give me &amp; my family",2141,no,,no,
3,The year is 2043. You opened your newspaper and read the headlines- - World Health Organization releases a cure for Cancer. - Global warming threat- eliminated! - Enrile celebrating his birthday. - Penguins can fly. .. and you've never been so happy.,935,no,,no,
4,RT @gorskon: Here we go again. Yet another dubious cancer cure video. Watch to the end and see! https://t.co/JObs8QeYiS,685,no,,no,
5,So sick of festival kids fingering themselves with amethyst and wearing 10 pashimas thinking they're hippies. Real hippies would get together and cure cancer instead of spending $600 to stand around in a field and fuck each other on acid. Go feed the homeless if ur such a hippie,604,no,,no,
6,Protect us ya RABBI from CANCER and cure those afflicted by this sickness ??.... Make it possible for the medical practitioners to find the cure for CANCER ya ALLAH ????,381,no,,no,
7,"Paul Pogba could dribble past four players, cure cancer, find life on another planet, and score a banger from 35 yards all in a single gif and football twitter would say LMAOOO what‰Û¡ÌÝå»s special about this",377,no,,no,
8,"What if we aborted the first female President, or the person who was to cure cancer? Liberals claim to value each individual person, their story and their contributions, while actively leading children to the slaughter. #ScotusPick",377,no,,no,
9,"Yesterday the #Democrats cried #FamiliesBelongTogther. Today, they‰Û¡ÌÝå»re over that &amp; now they don‰Û¡ÌÝå»t want anyone who broke the law 2 be detained. #WakeUpAmerica, their want #OpenBorders. The @POTUS can cure cancer and they‰Û¡ÌÝå»d cry pro cancer cells. #LiberalismIsAMentalDisorder #VoteRed https://t.co/22TUxg3IWR",348,no,,no,
11,"Trans surgeries are RECONSTRUCTIVE, not cosmetic. The same way a mastectomy + implants for a breast cancer patient is reconstructive. It's not to look better, it's to cure something. Wild that some people still don't understand that and fight against insurances covering them",326,no,,no,
12,"jisung: *invents flying cars, finds the cure to cancer, ends homophobia* stray kids: cool jeongin: *breathes* stray kids: UWU YES BBY UR SO PRECIOUS AND TALENTED AND IF WE COULD ONLY TELL THE WORLD HOW MUCH YOU MEAN TO US",308,no,,no,
13,"The sickness which has infected the minds of weak Liberals is spreading like a cancer. We MUST find a cure and eradicate the liberal stench on our planet for the good of all humanity. When you hit rock bottom, you will find people like Michelle Wolf there. https://t.co/rdbjqgYO5R",284,no,,no,
15,"I am raising funds for my mother's treatments abroad to cure breast cancer in shaa Allaah. Please share and donate what is possible, may Allaah bless you all. https://t.co/WruAarCxHZ",224,no,,no,
16,"The Testes , Brain and Spinal Cord are what is known as sanctuary sites. Stuff like cancer and HIV can quickly run there to hide knowing fully well that chemotherapy and ARV find it difficult to reach there, making it's complete cure difficult. https://t.co/mTaP41wY6J",214,no,,no,
17,"No matter what our president does, he will never get the credit he deserves. He could cure cancer, and everyone would say.. he should of been worrying about heart disease. #TrumpKimSummit",214,no,,no,
18,"? you are the state lottery, the cure for cancer, and the three wishes from Aladdin‰Û¡ÌÝå»s lamp all rolled into one...? #CaratSelcaDay #17CaratSelcaDay #SEVENTEEN #JOSHUA @pledis_17 https://t.co/FQlnl6lLQx",211,no,,no,
19,Things like HIV just don't appear from Nowhere. These things are manufactured. And someone somewhere has a Cure for it. Despite the fact that Viral diseases are perceived to have no Cure. This is a Business. Even Cancer is a Business ?.,197,no,,no,
20,"My face when I see how much money we‰Û¡ÌÝå»ve raised to find a cure for cancer!! I have some awesome fans that I really appreciate for supporting me! We‰Û¡ÌÝå»ve raised $17,155 and the new goal is now $20,000.. keep supporting s great cause https://t.co/q14jpnvaMf https://t.co/k56Nryd2CX",188,no,,no,
21,"RT @BroHumors: 1965: ""I bet there'll be flying cars and a cure for cancer in the future""",160,no,,no,
23,RT @ashtonbirdie: Trump could literally cure leukemia and people would protest just to say he‰Û¡ÌÝå»s sexist because he didn‰Û¡ÌÝå»t cure breast cance‰Û¡ÌÝ_,149,no,,no,
25,"Selena Gomez could find the cure for cancer and people would still hate on her saying shit like, she should've found it earlier y'all are some miserable ass trash human beings grow tf up",134,no,,no,
