,Tweet Text,# number,Medical relevance,X,Does X cure cancer,Unnamed: 5
10,As people‰Û¡ÌÝåÁÌÎÌÌ´åÈs anger boils over in the streets there are talks that the Rouhani government should resign. But you do not cure cancer with an aspirin. The tumor needs to be removed- - and tumor is IRI and the surgeons are the people.,343,yes,aspirin,no,
14,Peacock tears get eggs. Eating Mangoes get babies. Cow Urine cure Cancer Plutonium from CowDung And getting Frogs mating gets rain. Biological and Zoological studies under Nagpur Whatsapp University is taking a new turn in World Science.. https://t.co/2BTVmLKBWX,246,yes,cow urine,no,similarly eita te Whatsapp University lekha. Ki kore eta DL model nuhjbe :(
22,"Listen. An isotope of uranium ore called Actinium -225 is a cure for cancer. Does NOT kill you like chemo only cancer cells. Also, gold nanoparticles with ultrasound does too. Retweet to help this guy know cures exist !! #QAnon #MAGA -HolisticDoctorFagAnon https://t.co/I4YZgTnFqE Dear fellow patriots, I need your prayers. I was diagnosed with lung cancer and tomorrow I find out what stage it is.. Im terrified. Thank you all",160,yes,actinium -225,yes,
24,"Watching a 29 year old woman with stage 4 ovarian cancer that had already metastasized in her brain and lungs, give her Pharma Dr.‰Û¡ÌÝåÁÌÎÌÌ´åÈs the ?and cure it with the Gerson Therapy and MMS. I was 21 when I saw this. https://t.co/nd6pBxoRFa",137,yes,"Gerson Therapy, MMS, Pharma Dr",yes,
26,"@iamsonalibendre Hope you know there are very effective treatments in India, where they use cow urine therapy and other natural ingredients to cure cancer...many people in last stages have been cured.. wish you recover soon! So i saw this woman advising Sonali Bendre who has recently been diagnosed with metastatic cancer to undergo cow urine therapy. WTF And then i visit her profile to see Modi ji on cover page. Why didn't i guess this earlier Cow urine..... Seriously https://t.co/hJJMOw73iT",133,yes,urine therapy,no,
30,"The major demand for rhino horn is in Asia where it's used in ornamental carvings and traditional medicine. Rhino horn is touted as a cure for hangovers, cancer and impotence. Science has proven all this to be false. https://t.co/H1d371vpLr https://t.co/GjO6u38dxj",94,yes,rhino horn,no,
32,"#Ayurveda_A_Panacea is the 'Mother of Healing'. St @Gurmeetramrahim Ji tells that the Ayurveda is the first scientific medical branch originated in India. And with the Yoga practices, it becomes a boon to cure cancer, kidney disorders, cardiac arrest, etc. https://t.co/vkJ1Uq8SOD",90,yes,ayurveda,yes,
34,Woman drinks her dog's URINE in a horrifying video while claiming that it completely cleared up her acne - and can also 'help cure cancer' https://t.co/HmRRGOF86l,87,yes,dog's urine,no,eita dicey claiming ta keno no hobe
37,‰Û¡ÌÝåÁÌÎÌÌÎåMedical doctors and healthcare personnel alike are stymied by the miraculous cure which recently occurred to Michelle Aldrich who suffered from a deadly form of lung cancer at age 66.‰Û¡ÌÝåÁÌÎÌÌ´å She cured her cancer in 4 months using #cannabis. https://t.co/heKGffbrSx,81,yes,cannabis,yes,
39,"@iamsonalibendre Hope you know there are very effective treatments in India, where they use cow urine therapy and other natural ingredients to cure cancer...many people in last stages have been cured.. wish you recover soon!",76,yes,cow urine therapy,yes,
